"OIDD_ID","NCGC_ID","PUBCHEM_SID","TRIVIAL_NAME","SMILES","PUBCHEM_CID"
"2351341355","NCGC00319023-01","TBE","","","TBE"
"2351149330","NCGC00017159-09","124882766","Curcumin","COc1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c2cc(c(cc2)O)OC)O","969516"
"2351143244","NCGC00159370-04","124892111","Docosanol","CCCCCCCCCCCCCCCCCCCCCCO","12620"
"2351149337","NCGC00164500-02","124893119","null","Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCOP(=O)(O)O","1131"
"2351149348","NCGC00182037-01","124893756","Alacepril","C[C@H](CSC(=O)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)O","71992"
"2351149291","NCGC00183001-01","124894207","Tolvaptan","Cc1ccccc1C(=O)Nc2ccc(c(c2)C)C(=O)N3CCCC(c4c3ccc(c4)Cl)O","216237"
"2351149583","NCGC00183095-01","124894296","Tigecycline","CC(C)(C)NCC(=O)Nc1cc(c2c(c1O)C(=O)C3=C([C@]4([C@@H](C[C@H]3C2)[C@@H](C(=C(C4=O)C(=O)N)O)N(C)C)O)O)N(C)C","73265192"
"2351149280","NCGC00183837-01","124894552","Monatepil","c1ccc2c(c1)CSc3ccccc3C2NC(=O)CCCN4CCN(CC4)c5ccc(cc5)F","60810"
"2351149276","NCGC00183844-01","124894559","Sitafloxacin hydrate","c1c2c(c(c(c1F)N3C[C@@H](C4(C3)CC4)N)Cl)n(cc(c2=O)C(=O)O)C5C[C@@H]5F","44341401"
"2351149244","NCGC00183848-01","124894563","Troxacitabine","c1cn(c(=O)nc1N)C2CO[C@@H](O2)CO","151173"
"2351149529","NCGC00229704-01","124939249","Raltitrexed","Cc1[nH]c(=O)c2cc(ccc2n1)CN(C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O","104758"
"2351143334","NCGC00242597-01","124950715","Saxagliptin","C1[C@H]2C[C@@H]2N([C@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N","73265207"
"2351149313","NCGC00160641-01","144205501","Sulazepam","CN1c2ccc(cc2C(=NCC1=S)c3ccccc3)Cl","17931"
"2351149536","NCGC00167569-01","144206117","Mefeserpine","COc1ccc(cc1)OCC(=O)O[C@@H]2C[C@@H]3CN4CCc5c6ccc(cc6[nH]c5[C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC)OC","3045407"
"2351143327","NCGC00181290-01","144206325","Furazabol","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(Cc5c(non5)C4)C","14708"
"2351149421","NCGC00181294-01","144206326","Thiamine disulfide","Cc1ncc(c(n1)N)CN(C=O)C(=C(CCO)SSC(=C(C)N(Cc2cnc(nc2N)C)C=O)CCO)C","5432"
"2351149334","NCGC00181297-01","144206328","Mebrofenin","Cc1cc(c(c(c1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C","54158"
"2351149454","NCGC00181300-01","144206329","Riboflavin tetrabutyrate","CCCC(=O)OC[C@H]([C@H]([C@H](Cn1c2cc(c(cc2nc-3c(=O)[nH]c(=O)nc13)C)C)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC","92140"
"2351143349","NCGC00181301-01","144206330","Acetyl tributyl citrate","CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C","6505"
"2351149341","NCGC00181305-01","144206333","Magnesium salicylate tetrahydrate","c1ccc2c(c1)C(=O)O[Mg]3(O2)Oc4ccccc4C(=O)O3.O.O.O.O","3045402"
"2351149361","NCGC00183270-01","144206456","Acifluorfen-sodium","c1cc(c(cc1C(F)(F)F)Cl)Oc2ccc(c(c2)C(=O)[O-])[N+](=O)[O-].[Na+]","44072"
"2351149576","NCGC00183096-01","144206464","Cefcapene pivoxil hydrochloride","CC/C=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C.Cl","6918126"
"2351149572","NCGC00181788-01","144206472","Cefetamet pivoxil hydrochloride","CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OC)/c3csc(n3)N)SC1)C(=O)OCOC(=O)C(C)(C)C.Cl","5485221"
"2351149559","NCGC00181749-01","144206473","Cefminox sodium","Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSC[C@H](C(=O)[O-])N)OC)SC2)C(=O)O.[Na+]","60196336"
"2351149586","NCGC00181750-01","144206474","Cefozopran hydrochloride","CO/N=C(\c1nc(sn1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4ccn5c4cccn5)C(=O)[O-].Cl","6918222"
"2351149565","NCGC00181755-01","144206480","Delapril hydrochloride","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C2Cc3ccccc3C2.Cl","5362115"
"2351143307","NCGC00182710-02","144206486","Flurbiprofen axetil","CC(c1ccc(c(c1)F)c2ccccc2)C(=O)OC(C)OC(=O)C","3395"
"2351149591","NCGC00181756-01","144206489","gamma-Oryzanol","C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)OC(=O)/C=C/c6ccc(c(c6)OC)O)C)C","5282164"
